               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12975,            0.037452,                   0,                   0,                   0,                   0,                   0,             0.12866,            0.035165,                   0,                 0.1,                   0,                   0
                   1,             0.12939,            0.033882,                   0,                   0,                   0,                   0,                   0,             0.12858,            0.033939,                   0,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.13016,            0.035188,                   0,                   0,                   0,                   0,                   0,              0.1279,            0.032465,                   0,            0.098196,          0.00019604,          0.00019604
                   3,             0.12855,            0.032795,                   0,                   0,                   0,                   0,                   0,             0.12682,            0.030889,                   0,            0.097291,          0.00029109,          0.00029109
                   4,             0.12663,            0.032673,                   0,                   0,                   0,                   0,                   0,             0.12509,            0.029301,                   0,            0.096384,          0.00038416,          0.00038416
                   5,             0.12526,            0.031388,                   0,                   0,                   0,                   0,                   0,             0.12253,            0.027772,                   0,            0.095475,          0.00047525,          0.00047525
                   6,             0.12408,            0.030098,                   0,                   0,                   0,                   0,                   0,             0.12062,            0.026516,                   0,            0.094564,          0.00056436,          0.00056436
                   7,             0.12475,            0.028728,                   0,                   0,                   0,                   0,                   0,             0.11954,            0.025419,                   0,            0.093651,          0.00065149,          0.00065149
                   8,             0.12191,            0.027155,                   0,                   0,                   0,                   0,                   0,              0.1185,            0.024385,                   0,            0.092737,          0.00073664,          0.00073664
                   9,              0.1211,            0.028591,                   0,                   0,                   0,                   0,                   0,             0.11637,            0.023426,                   0,             0.09182,          0.00081981,          0.00081981
                  10,             0.12089,            0.026858,                   0,          0.00066667,             0.10526,          0.00094276,          9.4276e-05,             0.11514,            0.022565,                   0,            0.090901,            0.000901,            0.000901
                  11,             0.11793,            0.025317,                   0,          0.00066667,             0.10526,          0.00099073,          0.00011809,             0.11413,             0.02183,                   0,             0.08998,          0.00098021,          0.00098021
                  12,              0.1161,            0.027348,                   0,           0.0013333,             0.21053,           0.0022642,          0.00031922,             0.10974,            0.021297,                   0,            0.089057,           0.0010574,           0.0010574
                  13,             0.11323,            0.024763,                   0,           0.0013333,             0.21053,           0.0024983,           0.0003878,             0.10695,            0.020882,                   0,            0.088133,           0.0011327,           0.0011327
                  14,             0.11322,            0.027293,                   0,          0.00066667,             0.10526,           0.0014906,          0.00020384,             0.10685,             0.02054,                   0,            0.087206,            0.001206,            0.001206
                  15,             0.11202,            0.027395,                   0,           0.0016667,             0.26316,           0.0034387,          0.00077748,             0.10637,            0.020231,                   0,            0.086277,           0.0012772,           0.0012772
                  16,             0.10802,            0.024518,                   0,          0.00066667,             0.10526,           0.0020694,          0.00024411,             0.11049,            0.019899,                   0,            0.085347,           0.0013466,           0.0013466
                  17,              0.1119,            0.026739,                   0,           0.0013333,             0.21053,           0.0024722,          0.00032396,             0.10489,            0.019813,                   0,            0.084414,           0.0014139,           0.0014139
                  18,             0.11104,            0.024191,                   0,               0.001,             0.15789,           0.0034114,          0.00041443,             0.10476,            0.019661,                   0,            0.083479,           0.0014792,           0.0014792
                  19,             0.10531,            0.026345,                   0,               0.001,             0.15789,           0.0037513,          0.00048726,             0.10464,            0.019527,                   0,            0.082543,           0.0015426,           0.0015426
                  20,             0.10576,            0.025986,                   0,          0.00066667,             0.10526,           0.0030962,          0.00061925,             0.10256,            0.019478,                   0,            0.081604,            0.001604,            0.001604
                  21,             0.10696,             0.02517,                   0,               0.001,             0.15789,           0.0057122,           0.0009536,             0.10126,             0.01941,                   0,            0.080663,           0.0016634,           0.0016634
                  22,             0.10224,            0.024312,                   0,               0.001,             0.15789,           0.0067118,          0.00082034,              0.1027,            0.019332,                   0,            0.079721,           0.0017208,           0.0017208
                  23,            0.099376,            0.027301,                   0,           0.0013333,             0.21053,            0.012596,           0.0023953,             0.10177,            0.019269,                   0,            0.078776,           0.0017763,           0.0017763
                  24,             0.10015,            0.027162,                   0,           0.0013333,             0.21053,             0.01019,           0.0020985,             0.10159,            0.019301,                   0,             0.07783,           0.0018298,           0.0018298
                  25,             0.10227,             0.02703,                   0,           0.0013333,             0.21053,            0.013901,           0.0014419,            0.096023,            0.019361,                   0,            0.076881,           0.0018812,           0.0018812
                  26,                 0.1,            0.030038,                   0,               0.001,             0.15789,            0.015674,           0.0017048,             0.10143,            0.019252,                   0,            0.075931,           0.0019308,           0.0019308
                  27,            0.096685,            0.027395,                   0,           0.0023333,             0.36842,            0.020946,           0.0023969,            0.095066,            0.019392,                   0,            0.074978,           0.0019783,           0.0019783
                  28,            0.094174,            0.027408,                   0,           0.0026667,             0.42105,             0.03493,           0.0073573,             0.09478,            0.019392,                   0,            0.074024,           0.0020238,           0.0020238
                  29,            0.098302,            0.025926,                   0,           0.0026667,             0.42105,            0.032857,           0.0066647,            0.092056,             0.01949,                   0,            0.073067,           0.0020674,           0.0020674
                  30,            0.096336,            0.028291,                   0,           0.0036667,             0.57895,            0.039874,            0.010813,            0.087233,            0.019638,                   0,            0.072109,            0.002109,            0.002109
                  31,            0.090671,            0.029178,                   0,               0.003,             0.47368,            0.036728,            0.013888,            0.092654,            0.019573,                   0,            0.071149,           0.0021486,           0.0021486
                  32,            0.092141,            0.027905,                   0,           0.0036667,             0.57895,            0.045064,            0.021967,            0.086448,            0.019686,                   0,            0.070186,           0.0021862,           0.0021862
                  33,            0.091027,            0.026023,                   0,               0.004,             0.63158,            0.047506,            0.022753,            0.088492,            0.019646,                   0,            0.069222,           0.0022219,           0.0022219
                  34,            0.091332,            0.028709,                   0,               0.004,             0.63158,            0.041587,            0.014796,            0.083528,            0.019711,                   0,            0.068256,           0.0022556,           0.0022556
                  35,            0.088194,            0.027203,                   0,           0.0036667,             0.57895,            0.060475,            0.012956,            0.083299,            0.019719,                   0,            0.067287,           0.0022873,           0.0022873
                  36,            0.088789,            0.024959,                   0,           0.0046667,             0.73684,            0.061837,           0.0099687,            0.085481,            0.019688,                   0,            0.066317,            0.002317,            0.002317
                  37,            0.086813,            0.029953,                   0,           0.0046667,             0.73684,            0.049903,           0.0097608,             0.07838,            0.019863,                   0,            0.065345,           0.0023447,           0.0023447
                  38,            0.087226,            0.030257,                   0,           0.0046667,             0.73684,            0.038818,           0.0094715,             0.08291,            0.019666,                   0,             0.06437,           0.0023704,           0.0023704
                  39,            0.082349,            0.031713,                   0,               0.005,             0.78947,             0.04633,           0.0095824,            0.077505,            0.019591,                   0,            0.063394,           0.0023942,           0.0023942
                  40,            0.086948,            0.029887,                   0,           0.0066045,             0.78947,            0.048194,            0.012081,            0.083132,            0.019448,                   0,            0.062416,            0.002416,            0.002416
                  41,            0.080047,            0.030861,                   0,           0.0053333,             0.84211,             0.04564,            0.010362,              0.0757,            0.019428,                   0,            0.061436,           0.0024358,           0.0024358
                  42,            0.081067,            0.029761,                   0,            0.070772,             0.68421,             0.14142,            0.030347,            0.078072,             0.01947,                   0,            0.060454,           0.0024536,           0.0024536
                  43,            0.082954,            0.032311,                   0,            0.058082,             0.47368,            0.058264,            0.014694,            0.076334,            0.019348,                   0,            0.059469,           0.0024695,           0.0024695
                  44,            0.077332,            0.030085,                   0,            0.065993,             0.48349,            0.063762,            0.019093,            0.078161,            0.019337,                   0,            0.058483,           0.0024834,           0.0024834
                  45,            0.081471,            0.033658,                   0,            0.067921,             0.42105,             0.05162,            0.011336,            0.072644,            0.018839,                   0,            0.057495,           0.0024953,           0.0024953
                  46,            0.075824,            0.027799,                   0,             0.21121,             0.39497,             0.19197,            0.052004,            0.076829,             0.01932,                   0,            0.056505,           0.0025052,           0.0025052
                  47,            0.078526,            0.029632,                   0,               0.006,             0.78947,            0.014919,           0.0040674,            0.081199,            0.018685,                   0,            0.055513,           0.0025131,           0.0025131
