               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12664,             0.03017,                   0,                   0,                   0,                   0,                   0,             0.12577,            0.023593,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12672,            0.030794,                   0,                   0,                   0,                   0,                   0,             0.12273,            0.023258,                   0,            0.097297,          0.00029703,          0.00029703
                   2,             0.12361,            0.030149,                   0,                   0,                   0,                   0,                   0,             0.12031,             0.02302,                   0,             0.09549,           0.0004901,           0.0004901
                   3,               0.121,            0.031204,                   0,                   0,                   0,                   0,                   0,              0.1179,              0.0228,                   0,            0.093679,          0.00067921,          0.00067921
                   4,             0.11863,            0.030207,                   0,                   0,                   0,                   0,                   0,             0.11443,            0.022526,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.11482,            0.031008,                   0,          0.00033333,            0.052632,          0.00018564,          1.8564e-05,             0.10894,            0.022222,                   0,            0.090046,           0.0010455,           0.0010455
                   6,             0.11207,            0.028994,                   0,                   0,                   0,                   0,                   0,             0.10702,            0.021881,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.10796,            0.029809,                   0,          0.00033333,            0.052632,          0.00019086,          1.9086e-05,             0.10517,            0.021545,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.10484,            0.028013,                   0,          0.00066667,             0.10526,          0.00076455,          0.00013218,            0.099206,            0.021371,                   0,            0.084565,           0.0015654,           0.0015654
                   9,             0.10439,            0.028816,                   0,           0.0016667,             0.26316,           0.0023462,          0.00055475,            0.097662,            0.021293,                   0,            0.082731,           0.0017307,           0.0017307
                  10,             0.10614,            0.030287,                   0,           0.0026667,             0.42105,            0.004719,           0.0014856,            0.085201,            0.021371,                   0,            0.080892,           0.0018921,           0.0018921
                  11,             0.10201,             0.02883,                   0,           0.0036667,             0.57895,            0.019567,           0.0064996,            0.095928,            0.021107,                   0,             0.07905,           0.0020495,           0.0020495
                  12,            0.098416,            0.026437,                   0,           0.0036667,             0.57895,            0.051541,            0.017037,            0.077346,            0.021584,                   0,            0.077203,            0.002203,            0.002203
                  13,            0.092492,            0.027615,                   0,           0.0046667,             0.73684,             0.14507,            0.049866,            0.086836,            0.021328,                   0,            0.075353,           0.0023525,           0.0023525
                  14,            0.097005,            0.029669,                   0,           0.0046667,             0.73684,             0.23481,            0.071348,            0.076602,            0.021427,                   0,            0.073498,           0.0024981,           0.0024981
                  15,            0.087535,            0.026262,                   0,               0.005,             0.78947,             0.24174,            0.073111,            0.077145,            0.021009,                   0,             0.07164,           0.0026396,           0.0026396
                  16,            0.085465,            0.029319,                   0,               0.005,             0.78947,             0.33572,             0.10179,            0.073493,            0.020594,                   0,            0.069777,           0.0027773,           0.0027773
                  17,            0.082456,             0.02763,                   0,            0.049961,             0.73684,             0.35598,             0.17136,            0.071325,            0.020803,                   0,            0.067911,           0.0029109,           0.0029109
                  18,            0.079261,            0.028081,                   0,             0.10563,             0.73684,             0.38379,              0.1958,            0.071328,            0.020362,                   0,            0.066041,           0.0030407,           0.0030407
                  19,            0.077349,             0.03059,                   0,             0.10738,             0.73684,             0.38296,             0.18429,            0.067242,            0.019968,                   0,            0.064166,           0.0031664,           0.0031664
                  20,            0.076592,            0.030224,                   0,             0.21256,             0.42105,             0.38174,             0.17261,            0.071772,            0.019159,                   0,            0.062288,           0.0032882,           0.0032882
                  21,            0.080243,            0.028795,                   0,             0.48008,             0.24429,              0.3805,             0.18082,            0.068342,            0.019665,                   0,            0.060406,            0.003406,            0.003406
                  22,            0.075405,            0.025083,                   0,              0.3988,             0.24543,              0.3357,             0.11901,            0.061066,            0.019528,                   0,             0.05852,           0.0035199,           0.0035199
                  23,            0.071921,            0.029211,                   0,             0.22312,             0.37813,             0.29059,             0.09763,            0.061398,            0.019174,                   0,             0.05663,           0.0036298,           0.0036298
                  24,             0.06723,            0.028743,                   0,             0.22896,             0.31579,             0.26018,             0.11292,            0.060703,            0.019387,                   0,            0.054736,           0.0037358,           0.0037358
                  25,            0.065429,             0.02691,                   0,             0.30047,             0.26316,             0.24357,             0.10535,            0.067981,            0.020215,                   0,            0.052838,           0.0038378,           0.0038378
                  26,            0.069204,            0.029149,                   0,             0.25741,             0.26316,             0.22673,            0.095016,            0.065571,            0.021703,                   0,            0.050936,           0.0039358,           0.0039358
                  27,            0.064592,            0.026531,                   0,             0.27211,             0.31579,             0.23914,            0.081672,            0.061057,            0.024389,                   0,             0.04903,           0.0040299,           0.0040299
                  28,            0.063716,            0.027872,                   0,             0.25275,             0.33874,             0.19804,            0.064544,            0.067589,            0.025628,                   0,             0.04712,             0.00412,             0.00412
                  29,            0.061143,            0.025163,                   0,             0.33762,             0.52632,             0.35048,             0.17018,            0.066546,            0.024699,                   0,            0.045206,           0.0042061,           0.0042061
                  30,            0.066512,            0.023989,                   0,             0.41473,             0.52632,             0.39026,             0.15669,            0.064701,            0.023345,                   0,            0.043288,           0.0042883,           0.0042883
                  31,            0.061785,            0.023676,                   0,             0.45292,             0.47955,             0.39476,             0.15949,            0.060452,            0.020832,                   0,            0.041367,           0.0043665,           0.0043665
                  32,            0.060803,            0.025585,                   0,             0.54381,             0.52632,             0.45522,             0.23695,            0.061192,            0.018389,                   0,            0.039441,           0.0044408,           0.0044408
                  33,             0.06099,            0.019083,                   0,             0.75505,             0.73684,             0.60315,             0.25321,            0.065972,            0.016664,                   0,            0.037511,           0.0045111,           0.0045111
                  34,            0.059076,            0.020156,                   0,             0.64918,             0.73684,             0.52698,             0.27739,            0.061867,            0.015828,                   0,            0.035577,           0.0045775,           0.0045775
                  35,            0.059331,            0.024634,                   0,             0.59011,             0.53062,             0.52799,             0.24275,            0.063546,            0.017315,                   0,             0.03364,           0.0046399,           0.0046399
                  36,             0.06353,            0.020238,                   0,             0.72901,             0.70865,             0.65086,             0.30539,            0.060058,            0.017625,                   0,            0.031698,           0.0046983,           0.0046983
                  37,             0.05808,             0.02235,                   0,              0.4797,             0.52632,              0.4792,             0.21548,            0.059028,            0.018529,                   0,            0.029753,           0.0047528,           0.0047528
                  38,            0.059784,            0.020479,                   0,             0.82729,             0.68421,             0.65706,             0.25292,            0.054559,            0.017351,                   0,            0.027803,           0.0048033,           0.0048033
                  39,            0.056526,            0.020232,                   0,             0.85808,             0.73684,             0.67956,             0.25852,            0.053122,            0.015611,                   0,             0.02585,           0.0048498,           0.0048498
                  40,             0.05499,            0.020249,                   0,             0.73113,             0.73684,             0.65854,             0.33127,            0.061645,            0.013848,                   0,            0.023892,           0.0048924,           0.0048924
                  41,            0.055742,            0.021558,                   0,             0.63024,             0.73684,              0.6565,              0.3113,            0.056103,            0.013837,                   0,            0.021931,            0.004931,            0.004931
                  42,            0.054019,            0.019316,                   0,             0.65833,             0.73684,             0.68467,             0.39405,            0.059846,            0.013813,                   0,            0.019966,           0.0049657,           0.0049657
                  43,            0.055183,            0.019757,                   0,             0.76816,             0.73684,             0.67822,             0.34574,            0.046955,            0.014708,                   0,            0.017996,           0.0049964,           0.0049964
                  44,            0.053234,            0.018407,                   0,              0.8718,             0.73684,             0.73538,             0.42241,            0.050007,            0.014282,                   0,            0.016023,           0.0050232,           0.0050232
                  45,            0.054102,            0.019451,                   0,             0.93578,             0.73684,             0.76478,             0.43512,            0.047207,            0.014222,                   0,            0.014046,            0.005046,            0.005046
                  46,            0.052448,            0.016309,                   0,             0.54989,             0.73684,             0.55754,             0.29593,            0.053577,            0.013154,                   0,            0.012065,           0.0050648,           0.0050648
                  47,            0.051823,            0.017068,                   0,             0.60058,             0.73684,             0.59626,             0.29566,            0.050198,            0.012176,                   0,             0.01008,           0.0050797,           0.0050797
                  48,            0.053077,            0.017915,                   0,             0.73457,             0.73684,             0.69404,             0.38224,            0.044393,            0.011924,                   0,           0.0080906,           0.0050906,           0.0050906
                  49,            0.051692,            0.016193,                   0,             0.81887,             0.71459,             0.74946,              0.4147,             0.04984,            0.013228,                   0,           0.0060975,           0.0050975,           0.0050975
