               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12644,            0.031556,                   0,                   0,                   0,                   0,                   0,             0.12507,            0.023466,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12577,            0.030059,                   0,                   0,                   0,                   0,                   0,             0.12085,            0.023116,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.12011,            0.029735,                   0,                   0,                   0,                   0,                   0,             0.11685,            0.022821,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.11652,            0.030283,                   0,                   0,                   0,                   0,                   0,              0.1109,            0.022477,                   0,            0.090067,           0.0010673,           0.0010673
                   4,               0.111,            0.031774,                   0,                   0,                   0,                   0,                   0,             0.10774,            0.021913,                   0,            0.087345,           0.0013446,           0.0013446
                   5,             0.10591,            0.029083,                   0,               0.002,             0.31579,           0.0019842,          0.00029368,             0.10229,             0.02164,                   0,            0.084616,           0.0016158,           0.0016158
                   6,             0.10301,            0.028865,                   0,               0.002,             0.31579,           0.0040218,           0.0010892,            0.088412,            0.021632,                   0,            0.081881,           0.0018812,           0.0018812
                   7,             0.10019,            0.029143,                   0,           0.0033333,             0.52632,             0.01379,           0.0035518,            0.086693,            0.021394,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.097831,             0.03058,                   0,           0.0046667,             0.73684,             0.10238,            0.033909,            0.085026,            0.021703,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.090299,            0.027028,                   0,           0.0046667,             0.73684,             0.24762,            0.078695,             0.07259,            0.021894,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.082577,            0.030969,                   0,               0.005,             0.78947,             0.24135,            0.058294,            0.074887,            0.020676,                   0,            0.070883,           0.0028832,           0.0028832
                  11,            0.083277,             0.03289,                   0,            0.059505,             0.73684,             0.33559,            0.097273,            0.083125,             0.01992,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.081086,            0.031518,                   0,            0.054813,             0.57895,             0.11276,             0.03763,             0.06796,            0.019458,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.079774,             0.02771,                   0,             0.44808,             0.31579,             0.29275,               0.119,            0.087529,            0.018836,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.075218,             0.02912,                   0,             0.12906,             0.21053,             0.17571,             0.03924,            0.067221,            0.019541,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.072571,            0.027391,                   0,             0.19233,             0.68421,              0.2064,            0.064161,            0.083659,            0.019741,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.071635,            0.026317,                   0,             0.21583,             0.47368,             0.23176,            0.086714,            0.073535,            0.022556,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.068429,            0.027548,                   0,             0.31009,             0.42105,             0.30353,             0.14647,            0.073524,            0.024875,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.069676,              0.0239,                   0,             0.22261,             0.36842,             0.14964,            0.041625,            0.061695,            0.027356,                   0,            0.048602,           0.0046021,           0.0046021
                  19,            0.069872,            0.025171,                   0,             0.30935,             0.52632,             0.29659,             0.13125,            0.058298,            0.026272,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.066625,            0.022069,                   0,             0.29543,             0.47368,             0.29677,            0.099844,            0.071673,            0.024568,                   0,            0.042972,           0.0049724,           0.0049724
                  21,            0.064078,            0.024396,                   0,             0.27875,             0.36842,             0.18689,            0.049493,            0.073551,            0.021193,                   0,            0.040149,           0.0051487,           0.0051487
                  22,            0.065538,            0.023749,                   0,             0.53474,             0.52632,             0.40692,             0.16967,            0.061113,            0.020413,                   0,            0.037319,            0.005319,            0.005319
                  23,              0.0664,             0.02425,                   0,             0.49424,             0.47368,             0.42541,             0.15101,            0.066455,             0.01771,                   0,            0.034483,           0.0054833,           0.0054833
                  24,            0.061573,            0.024567,                   0,             0.46895,             0.51176,             0.42967,             0.14081,            0.066769,            0.015648,                   0,            0.031642,           0.0056418,           0.0056418
                  25,            0.063084,            0.022173,                   0,             0.60544,             0.68421,             0.53515,              0.2006,            0.062628,            0.015245,                   0,            0.028794,           0.0057942,           0.0057942
                  26,            0.065131,            0.023729,                   0,             0.68002,             0.67163,             0.64102,             0.26834,            0.069916,            0.014809,                   0,            0.025941,           0.0059408,           0.0059408
                  27,             0.06059,            0.023583,                   0,             0.63655,             0.64579,             0.56914,             0.27784,            0.074286,            0.014521,                   0,            0.023081,           0.0060814,           0.0060814
                  28,            0.061784,            0.020785,                   0,             0.71501,             0.68421,             0.64129,             0.31266,            0.064162,            0.014625,                   0,            0.020216,           0.0062161,           0.0062161
                  29,            0.059605,            0.021981,                   0,             0.52993,             0.63158,             0.56346,             0.23671,            0.065354,            0.015538,                   0,            0.017345,           0.0063448,           0.0063448
                  30,            0.066817,            0.019975,                   0,             0.73675,             0.68421,             0.65584,             0.26248,            0.067005,            0.013554,                   0,            0.014468,           0.0064676,           0.0064676
                  31,            0.062827,            0.021298,                   0,             0.66012,             0.68421,             0.65424,             0.36569,            0.055832,            0.013092,                   0,            0.011584,           0.0065844,           0.0065844
                  32,            0.059255,            0.019492,                   0,             0.62422,             0.73684,             0.67326,             0.31782,            0.068213,             0.01298,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,            0.058579,            0.018235,                   0,             0.71265,             0.65337,             0.69383,             0.26185,            0.061978,            0.011918,                   0,            0.006733,            0.006733,            0.006733
                  34,            0.060668,            0.019374,                   0,             0.90441,             0.68421,             0.73804,             0.37496,            0.054449,            0.013104,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.052524,            0.020052,                   0,             0.79759,             0.57895,             0.70404,             0.36492,            0.053338,            0.013105,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.058746,            0.019647,                   0,                   1,             0.65919,             0.74065,             0.42204,            0.058596,            0.012567,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.05597,            0.020687,                   0,              0.8788,             0.63158,             0.72194,             0.37523,            0.051978,            0.013264,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.054668,            0.018296,                   0,             0.58175,             0.63158,             0.65625,             0.30307,            0.060403,            0.012813,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.052731,            0.019793,                   0,             0.51394,             0.63158,             0.59698,             0.33071,            0.056424,            0.011432,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.052667,            0.018289,                   0,             0.87329,             0.72603,             0.77944,              0.3566,            0.049744,            0.011984,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.052185,            0.018327,                   0,             0.82139,             0.78947,             0.78378,              0.3558,            0.047172,            0.012343,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.046334,            0.017388,                   0,             0.36482,             0.73684,             0.56809,             0.29295,            0.053433,             0.01093,                   0,            0.005941,            0.005941,            0.005941
