               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12964,            0.035984,                   0,                   0,                   0,                   0,                   0,             0.12792,             0.03392,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12769,            0.035542,                   0,                   0,                   0,                   0,                   0,             0.12298,            0.030403,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.12377,            0.031352,                   0,          0.00033333,            0.052632,          0.00067112,          6.7112e-05,             0.11727,            0.027135,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.11827,            0.030395,                   0,          0.00066667,             0.10526,           0.0010599,          0.00010599,               0.112,            0.025344,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.11658,            0.030128,                   0,          0.00066667,             0.10526,          0.00052495,          7.4138e-05,             0.10861,            0.023482,                   0,            0.078305,            0.002305,            0.002305
                   5,              0.1142,            0.028011,                   0,                   0,                   0,                   0,                   0,              0.1081,            0.022312,                   0,            0.073756,           0.0027564,           0.0027564
                   6,             0.10952,            0.025628,                   0,          0.00033333,            0.052632,          0.00033862,          0.00010159,            0.095531,            0.021386,                   0,            0.069198,            0.003198,            0.003198
                   7,             0.10886,             0.02599,                   0,           0.0013333,             0.21053,           0.0017386,          0.00035602,             0.10586,            0.020624,                   0,             0.06463,           0.0036297,           0.0036297
                   8,              0.1058,            0.026728,                   0,           0.0026667,             0.42105,           0.0024275,          0.00042819,             0.10268,            0.019631,                   0,            0.060052,           0.0040515,           0.0040515
                   9,             0.10069,            0.026312,                   0,               0.004,             0.63158,           0.0085498,           0.0020484,            0.098246,            0.019329,                   0,            0.055463,           0.0044634,           0.0044634
                  10,              0.1019,            0.029068,                   0,           0.0036667,             0.57895,            0.043689,            0.010586,            0.093899,             0.01891,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.095441,            0.029269,                   0,           0.0046667,             0.73684,             0.10209,            0.030527,            0.096436,            0.018743,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.090695,            0.026932,                   0,           0.0043333,             0.68421,            0.027388,           0.0048941,            0.099504,            0.017882,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.093392,            0.027713,                   0,           0.0046667,             0.73684,            0.032614,           0.0089421,             0.09373,            0.018077,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.091178,             0.02817,                   0,            0.034871,             0.63158,            0.050116,           0.0092086,            0.090516,            0.017545,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.088426,            0.029343,                   0,             0.14968,             0.57895,             0.17276,            0.037502,            0.080968,            0.017733,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.086992,             0.02693,                   0,            0.021377,             0.68421,            0.060212,            0.017396,            0.077651,            0.016971,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.085572,            0.026486,                   0,             0.10993,             0.47368,             0.10765,            0.031961,             0.08658,            0.016202,                   0,            0.018402,           0.0074021,           0.0074021
                  18,             0.08432,            0.026759,                   0,             0.53912,             0.47368,             0.42604,             0.18624,            0.078972,            0.017233,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.082911,            0.026507,                   0,            0.004076,             0.10526,           0.0030432,          0.00073441,            0.096882,            0.014628,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.086051,            0.020152,                   0,             0.74868,             0.47063,             0.49789,             0.16451,            0.069553,             0.01816,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.079191,            0.025453,                   0,            0.064267,             0.21053,            0.044789,            0.011733,            0.089747,            0.016539,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.079219,            0.024597,                   0,             0.41047,             0.21053,             0.21961,            0.047909,            0.069716,            0.018446,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.071497,            0.026753,                   0,            0.084996,             0.36842,            0.059029,            0.015555,            0.086625,            0.015003,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.080377,             0.02167,                   0,             0.43266,             0.36842,              0.3014,              0.1078,            0.076954,            0.016587,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.072772,            0.024904,                   0,             0.24608,             0.36842,             0.23845,            0.063677,            0.062928,             0.01601,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.071791,            0.024622,                   0,             0.67981,             0.36842,              0.4474,             0.16673,            0.064129,             0.01607,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.062597,            0.027018,                   0,             0.65597,             0.50267,             0.52475,             0.15635,            0.078636,            0.014205,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.072882,            0.021859,                   0,             0.36052,             0.47368,             0.38253,             0.16455,            0.067056,            0.015116,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.067076,            0.022358,                   0,             0.38664,             0.52632,             0.32087,             0.13476,            0.068613,            0.014132,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.070537,            0.023513,                   0,              0.4283,             0.55255,             0.44121,              0.2094,            0.077095,            0.013458,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.062108,            0.021628,                   0,             0.43339,             0.72492,             0.48396,             0.20048,            0.071981,            0.012165,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.069389,            0.018723,                   0,             0.50593,             0.57895,             0.42196,             0.13675,            0.061808,            0.012736,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.060845,             0.02095,                   0,             0.33051,             0.68421,             0.35582,             0.15098,            0.065419,            0.011559,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.062515,            0.020768,                   0,             0.66421,             0.73684,             0.63166,             0.28246,            0.060649,            0.012053,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.055392,            0.020734,                   0,                0.59,             0.68175,             0.60586,             0.32863,            0.063899,            0.011404,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.066143,            0.020705,                   0,              0.4313,             0.68421,             0.48105,             0.16838,             0.05854,            0.011929,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.060361,            0.018409,                   0,             0.51356,              0.5008,             0.42235,             0.12476,            0.065235,            0.010524,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.055948,            0.020514,                   0,             0.69902,             0.73358,             0.57593,             0.25357,            0.053324,            0.011245,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.055852,             0.02157,                   0,             0.36742,             0.73684,             0.43318,             0.19895,            0.065499,            0.010698,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.060237,            0.018947,                   0,             0.68106,             0.63158,             0.60086,             0.23337,            0.056185,            0.010253,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.056225,             0.01949,                   0,             0.61198,             0.74744,             0.56344,             0.28665,             0.04834,            0.010822,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.057731,            0.018027,                   0,             0.71526,             0.63158,             0.63353,              0.2327,            0.049953,            0.010538,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.051727,            0.019963,                   0,             0.50513,             0.68421,             0.50571,             0.24647,            0.054948,            0.010668,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.058778,            0.020319,                   0,             0.87944,             0.68421,             0.71547,             0.30023,             0.04791,            0.010618,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.054013,            0.020092,                   0,             0.53781,             0.68421,             0.50484,             0.22793,            0.058509,            0.010312,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.053687,            0.017963,                   0,             0.84714,             0.68421,             0.68683,             0.30293,            0.046572,            0.010659,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.051858,            0.019882,                   0,             0.61096,             0.68421,             0.58426,              0.3145,            0.055601,             0.01022,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.052206,            0.018094,                   0,             0.79119,             0.68421,             0.68178,             0.31598,            0.044631,            0.010331,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.05113,              0.0175,                   0,             0.90179,             0.57895,              0.6808,             0.28016,            0.051849,           0.0097985,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.051482,            0.017591,                   0,             0.87212,             0.71867,             0.75797,             0.35288,            0.045858,           0.0098382,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.044637,            0.017716,                   0,             0.84847,             0.68421,             0.73402,             0.36932,            0.048931,           0.0094968,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.054187,            0.015929,                   0,             0.92442,             0.68421,               0.761,             0.38022,            0.044599,           0.0094464,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.05147,            0.017354,                   0,             0.85406,             0.68421,             0.72596,             0.37808,             0.04857,           0.0092684,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048666,            0.015123,                   0,             0.94065,             0.68421,              0.7462,             0.34129,            0.047684,           0.0093317,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.049244,            0.016601,                   0,             0.87338,             0.68421,             0.72971,             0.36845,            0.044111,           0.0091888,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.050503,            0.016238,                   0,              0.8207,             0.72332,             0.72006,             0.29898,            0.045931,           0.0091164,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.050695,            0.016804,                   0,             0.92949,             0.73684,             0.76262,             0.38497,            0.045555,           0.0090691,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.047346,            0.016987,                   0,             0.92455,             0.73684,             0.76256,             0.34452,            0.039203,           0.0091026,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.045466,            0.015934,                   0,             0.93305,             0.73366,             0.76698,             0.37648,            0.044313,           0.0088794,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.047967,            0.015836,                   0,                   1,              0.7346,             0.76997,             0.34674,            0.041917,           0.0089383,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.046182,            0.016964,                   0,             0.93208,             0.72294,             0.76595,             0.42403,            0.039855,           0.0089861,                   0,             0.00406,             0.00406,             0.00406
