               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.054312,            0.018822,                   0,             0.54701,             0.63572,             0.49593,             0.24467,            0.056284,            0.010427,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.054975,            0.018946,                   0,             0.82965,             0.68421,             0.67925,             0.29273,             0.05098,            0.010321,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.05288,             0.01854,                   0,             0.51791,             0.57895,             0.51022,             0.22436,            0.054701,           0.0099112,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.05883,            0.018057,                   0,             0.79539,             0.68421,             0.67683,             0.28787,            0.046932,           0.0099534,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.057128,            0.016114,                   0,             0.76076,             0.68421,             0.71631,             0.24397,            0.054003,           0.0096921,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.051898,            0.018889,                   0,              0.9139,             0.68421,             0.74263,             0.34291,            0.052819,           0.0097232,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.051337,             0.01683,                   0,             0.79384,             0.68421,              0.7017,             0.29511,            0.047168,           0.0096224,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.053111,            0.017819,                   0,              0.8557,             0.63158,             0.68273,             0.29304,            0.048613,           0.0093271,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.050695,            0.015699,                   0,             0.66428,             0.63158,             0.62988,             0.26265,            0.048151,           0.0092907,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.046214,            0.016923,                   0,             0.91687,             0.73684,             0.76529,             0.38029,            0.047297,           0.0092442,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.050154,            0.014858,                   0,             0.51259,             0.71999,             0.54995,              0.2759,            0.044302,           0.0093507,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.048355,            0.016262,                   0,             0.77254,             0.68421,             0.72749,             0.33977,            0.044469,            0.009181,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.051126,            0.019165,                   0,             0.69854,             0.73684,             0.68266,             0.30569,            0.042643,           0.0093126,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.047006,            0.018874,                   0,              0.8041,             0.73684,             0.73977,             0.34211,            0.043519,           0.0092673,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.046794,            0.016281,                   0,              0.6025,             0.71852,             0.65272,             0.31688,            0.044459,            0.009257,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.046219,            0.015321,                   0,             0.71147,             0.63158,              0.6692,             0.27698,            0.045824,           0.0092924,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.043677,             0.01752,                   0,             0.85962,             0.64524,             0.73437,             0.38857,             0.04201,            0.009394,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.045855,            0.016872,                   0,             0.81958,               0.718,             0.72272,             0.32557,            0.043096,           0.0093276,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.044005,            0.017269,                   0,             0.86378,             0.66827,             0.70889,             0.32007,            0.042932,           0.0092745,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.047731,            0.016042,                   0,             0.82206,             0.73684,             0.73563,              0.3451,            0.043194,            0.009272,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.040131,            0.014388,                   0,             0.86066,             0.65099,              0.7364,             0.36308,            0.037603,           0.0093374,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.040911,            0.016458,                   0,             0.92429,             0.68421,             0.74759,             0.34464,            0.038814,           0.0092044,                   0,            0.004159,            0.004159,            0.004159
